"key","message","comment","context"
"Listes des élèves actuels (groupe)","لائحة التلاميذ الحالية(الافواج)",,"resources\views\Gestioneleves.xml:677"
"Listes initiales","لائحة اولية",,"resources\views\Gestioneleves.xml:675"
"Listes initiales des élèves Internat","لوائح الاولية لتلاميذ الداخلية",,"resources\views\Gestioneleves.xml:705"
"Login de Massar","مستخدم مسار",,"resources\views\Gestioneleves.xml:196"
"Lundi","الأثنين",,"resources\views\CahierJournalier.xml:94"
"Mardi","الثلاثاء",,"resources\views\CahierJournalier.xml:95"
"Matiere","المادة",,"resources\domains\AffectationEnseignant.xml:10
resources\domains\Enseignant.xml:12
resources\domains\Gestioneleves.xml:15
resources\domains\NotesEleve.xml:8
resources\views\Gestioneleves.xml:102
resources\views\MatiereEleve.xml:13
resources\views\NotesEleve.xml:20"
"MatiereAr","اسم المادة بالعربية",,"resources\domains\MatiereEleve.xml:9"
"MatiereFr","اسم المادة بالفرنسية",,"resources\domains\MatiereEleve.xml:10"
"Matieres","المواد",,"resources\views\Gestioneleves.xml:326
resources\views\MatiereEleve.xml:7
resources\views\NotesEleve.xml:7"
"Max size 4MB.","الحجم الأقصى 4MB",,"resources\domains\Eleve.xml:12"
"Maîtres d'internat",,,"resources\views\PersonnesnourriesJournalier.xml:27"
"Menu Du jour",,,"resources\views\CahierJournalier.xml:25"
"Menu Du jour : DIMANCHE",,,"java\com\gestion\eleves\service\CahierjournalierService.java:104
java\com\gestion\eleves\web\CahierJournalierController.java:111
java\com\gestion\eleves\web\CahierJournalierController.java:241"
"Menu Du jour : JEUDI",,,"java\com\gestion\eleves\service\CahierjournalierService.java:86
java\com\gestion\eleves\web\CahierJournalierController.java:223
java\com\gestion\eleves\web\CahierJournalierController.java:93"
"Menu Du jour : LUNDI",,,"java\com\gestion\eleves\service\CahierjournalierService.java:68
java\com\gestion\eleves\web\CahierJournalierController.java:205
java\com\gestion\eleves\web\CahierJournalierController.java:75"
"Menu Du jour : MARDI",,,"java\com\gestion\eleves\service\CahierjournalierService.java:74
java\com\gestion\eleves\web\CahierJournalierController.java:211
java\com\gestion\eleves\web\CahierJournalierController.java:81"
"Menu Du jour : MERCREDI",,,"java\com\gestion\eleves\service\CahierjournalierService.java:80
java\com\gestion\eleves\web\CahierJournalierController.java:217
java\com\gestion\eleves\web\CahierJournalierController.java:87"
"Menu Du jour : SAMEDI",,,"java\com\gestion\eleves\service\CahierjournalierService.java:98
java\com\gestion\eleves\web\CahierJournalierController.java:105
java\com\gestion\eleves\web\CahierJournalierController.java:235"
"Menu Du jour : VENDREDI",,,"java\com\gestion\eleves\service\CahierjournalierService.java:92
java\com\gestion\eleves\web\CahierJournalierController.java:229
java\com\gestion\eleves\web\CahierJournalierController.java:99"
"Menu Hebdomadaire",,,"resources\views\Menu.xml:107
resources\views\MenuHebdomadaire.xml:18
resources\views\MenuHebdomadaire.xml:8"
"Menu du Dimanche",,,"resources\views\MenuHebdomadaire.xml:35"
"Menu du Jeudi",,,"resources\views\MenuHebdomadaire.xml:59"
"Menu du Lundi",,,"resources\views\MenuHebdomadaire.xml:42"
"Menu du Mardi",,,"resources\views\MenuHebdomadaire.xml:48"
"Menu du Mercredi",,,"resources\views\MenuHebdomadaire.xml:54"
"Menu du Samedi",,,"resources\views\MenuHebdomadaire.xml:70"
"Menu du Vendredi",,,"resources\views\MenuHebdomadaire.xml:64"
"MenuHebdomadaire",,,"resources\views\Menu.xml:109"
"Mercredi","الأربعاء",,"resources\views\CahierJournalier.xml:96"
"Mere","الام",,"resources\views\Eleve.xml:124"
"Mise Ajour","تحديث",,"resources\views\CahierJournalier.xml:24"
"Mise a jour","التعديل",,"resources\views\Gestioneleves.xml:666"
"Mise أ  jour des articles Internat terminأ©e",,,"java\com\gestion\eleves\service\ArticleService.java:266"
"Mise أ  jour terminأ©e",,,"java\com\gestion\eleves\web\EleveInternatController.java:145"
"Mote de passe","كلمة المرور",,"resources\views\Gestioneleves.xml:198"
"Mére","الام",,"resources\views\Eleve.xml:288"
"Name","الاسم",,"resources\domains\Article.xml:9
resources\domains\Classe.xml:9
resources\domains\Fournisseur.xml:8
resources\domains\Gestioneleves.xml:20
resources\domains\TypeArticle.xml:9"
"Niveau","المستوى",,"resources\domains\Classe.xml:11
resources\domains\EleveInternat.xml:22
resources\domains\Gestioneleves.xml:12
resources\views\Gestioneleves.xml:124
resources\views\Gestioneleves.xml:18
resources\views\Gestioneleves.xml:317
resources\views\Gestioneleves.xml:84
resources\views\Niveau.xml:16
resources\views\Niveau.xml:7"
"Niveau nom","اسم اخر المستوى",,"resources\domains\Eleve.xml:25"
"Nom En Français","النسب بالفرنسية",,"resources\domains\Eleve.xml:41
resources\domains\Eleve.xml:49
resources\domains\Eleve.xml:57"
"Nom En arab","النسب بالعربية",,"resources\domains\Eleve.xml:39
resources\domains\Eleve.xml:47
resources\domains\Eleve.xml:55
resources\domains\EleveInternat.xml:39"
"Nom Etablissement",,,"resources\views\Gestioneleves.xml:208"
"Nom Reporter","نسب المراسل",,"java\com\gestion\eleves\service\EleveInternatService.java:163
resources\domains\EleveInternat.xml:47"
